Tweet,Sentimen,Emosi
"Berat Mbah, terlalu banyak kemungkinan  Sedang haid gak ndang mampet, Jualan online gak payu-payu, Lagi horny sing lanang mumet covid, Sudah masak enak dapat berkatan yg lebih enak, Sariawan,Loro untu,Keputihan,Murus ilate kecakot  Bengese anyar  Masker kerlisut Dst...",-1,-1
Amalkan langkah-langkah pencegahan penularan COVID-19 sebagai amalan dalam kehidupan seharian kita.,1,2
"Kementerian Agama Provinsi Papua Barat, Azis Hegemur mengatakan, Umat Islam di Provinsi Papua Barat diimbau agar tidak menolak pemakaman jenazah pasien positifcterjangkit Covid-19. OPM",1,-2
Bumi..Maafkan Kami..Yang Tak Pernah Sadar.. Bahwa Kau Juga Butuh Istirahat.. ,1,-1
"Kalau ga ada covid, jam segini gue udah mulai pendakian dari pos Cangkuang",0,-1
"Developers biang rusuh. Proyek konstruksi swasta termasuk yg dikecualikan untuk ""freeze"" dlm psbb dki oleh gub , pdhl dlm permenkes tdk termasuk yg dikecualikan. Juga, proyek-2 konstruksi besar berpotensi menjadi kluster penyebaran covid krn padat. Bijimane nih?",0,1
"Kalau tidak dimulai dari diri sendiri, mana mungkin.Yukkk...kita putus mata rantai penyemangat Covid-19 di Indonesia dimulai dari diri sendiri.",1,2
Sinergitas TNI-POLRI untuk mencegah penyebaran Virus Covid-19,1,1
Kucing bukan penyebar COVID-19 kepada manusia - Jabatan Perkhidmatan Veterinar,1,-1
Pemkab Wondama Perbanyak Pos Pemantauan Covid-19. OPM,1,1
COVID-19: Pelajar UNIMAS berusia 23 tahun maut,-1,-1
"Murid2 mamaku dikasih tugas menggambar poster pencegahan covid-19 anak2nya malah pada nggambar virus segede gaban, dibawahnya dikasih tulisan ""Ya Allah lindungilah aku"" ",1,-1
Meluasnya pandemi Coronavirus disease 2019 (Covid-19) di Indonesia termasuk di Papua berdampak pada sejumlah sektor salah satunya perhotelan. OPM,0,-1
"Ada Gelombang Kedua Virus Corona, COVID-19 Telah Bermutasi?",-1,1
"Bantuan Masyarakat Terus Mengalir, Rekening Gugus Tugas Covid-19 Sudah Terisi Rp 193 Miliar",1,2
"Ada 15 cara mnyuruh Covid-19 sgera pergi Jangan lagi jauh dari Allah Sang Maha Pencipta. Bukankh Covid-19 telah mendidik kita, dlm suasana Covid-19 aktif menyebar, semua org ketakutan &amp; semua org baru mendekat berdzikir dan berdoa, memohon perlindungan Allah Sang Kholiq?.",1,1
Di malaysia kena covid temen temen lo yang pada ga punya kerjaan pada pulang ke indonesia ada 47 rb orang dan juga mereka ber resiko bawa tuh virus ga boleh pulang juga?,1,-2
"Skrinews - CEGAH PENYEBARAN VIRUS CORONA, WARTAWAN MEDIA SKRI JADI SATGAS RELAWAN COVID-19 DIDESANYA.",1,1
Lebaran sebentar lagi. Gara2 covid 19 lebaran apa masih pada butuh aksesoris enggak ya?,0,1
Giat Bhabinkamtibmas bersama masyarakat melakukan penyemprotan Disinfektan untuk mencegah penyebaran Virus Covid-19,1,1
Kasih Sayang Allah di Balik Musibah Covid-19 ,0,-1
Anggota Polsek Koba Himbau para pemuda Tidak Kumpul-kumpul dan segera pulang kerumahnya masing-masing untuk mencegah penyebaran COVID-19.,1,1
"met pagi NKRI...spy g trlalu heboh data kematian covid 19...jadikan perbandingan kematian seluruh prop d indon sblm wabah corona terjadi d indon....jk jumlahnya setara kematian sblm &amp; stlh corona...mk jumlah tsb angka kematian norma"" sj....",1,2
tido la tak nak harap apa apa dia dari azali takde hati macam tu cuba berharap covid takde je tu je,0,-1
"Untuk mengetahui bagaimana mencegah penyakit wabak COVID-19, sila baca risalah ini",0,1
Iya sel. Aku liat dengerin Lukman Sardi bilang. Rumah Sakit penuh. Makanya disuruh pulang. Orang awam kan taunya diusir padahal triase. Artinya emang di JKT parah banget covid shg orang2 dg sakit parah lain mlh jd kena triase,0,1
Kopi pagi ini cukup nikmat.Kabar baiknya pemerintah Aceh menyalurkan bantuan pokok utk Masyarakat terdampak Covid-19 dgn kriteria bukan penerima PKH & BPNT.Alhamdulillah ,1,2
"Hingga 9 April, Polri Tindak 18 Kasus Penyimpangan Produksi dan Distribusi APD COVID-19",1,2
eh bacot lu lbih parah dari covid.. anjing sia ke bele... pantat korengan.. sok2 blgu,-1,-2
Lumpuhnya Peran Negara dalam Menangani Covid-19 - Tegakkan agar terwujud -,0,-1
"my liberty ends where your nose begins"" ... pas banget di era COVID-19 ... dicolek-colek hidungnya di masa normal aja nggak mau, apalagi di masa COVID-19",0,-2
TERKEJUT!!..kami terkanjat je Warga Indonesia terkejut dgn tindakan pemerintah Malaysia menjaga rakyatnya dgn pemberian pelbagai insentif dsaat pelaksanaan PKP berikutan penularan wabak COVID-19.(Baca komen warga Indonesia di ruang komen Youtube),1,1
Sugeng ambal Warso...  kita bahgia saat ini adalah covid segera teratasi dan semua bisa melakukan kegiatan seperti biasa...,1,2
"Tinggal jawab : Covid 18 emak belum lahir Dek, jadi emak gak tau. Emak kan waktu itu masih jadi hawa nafsu.",-1,-1
"Bakal susah keknya memutus mata rantai COVID-19 di Indonesia. Selain tentang budaya masyarakat yang mayoritas belanja ke pasar tradisional, masih banyak juga yang keluar rumah cuma mau ngereceh.",0,-2
"4. Langkah yg dapat di ambil pemerintah dalam mengatasi dampak Covid-19 terhadap Kerjasama Internasional  Jawab :v1. Pengumpulan data kesakitan dan kematian penduduk. 2. Pemeriksaan klinis, fisik, laboratorium dan penegakan diagnosis",1,1
Kurangkan risiko awda terhadap jangkitan virus COVID-19,1,1
"Ini Tips Ilmuwan Cara Tingkatkan Kekebalan Tubuh, Mari Bersama Kita Lawan Covid-19 Sistem ketahanan tubuh adalah mekanisme yang efektif untuk menjaga tubuh dari serangan penyakit. via",1,1
"Selamat memperingati Jumat Agung. Selamat memaknai arti pengorbanan-Nya yang sesungguhnya demi cinta kasih. Di masa kini, pengorbanan kita untuk melawan Covid-19 juga pasti berbuah baik, sama seperti datangnya Paskah di kemudian hari.Happy Good Friday!",1,-1
"Pandemi Covid-19, Mendikbud: Dana BOS Bisa Digunakan Membeli Kuota Internet Siswa",1,2
"Semoga diberikan kesehatan jasmani n rohani, ya dok. Dan semoga kita semua selalu dalam Lindungan ALLAH SWT agar terhindar dari fitnah dajjal. Aamiin Mulut senantiasa selalu berdzikir, insyaALLAH bs mjdi tameng virus covid-19 selain ikhtiar.",1,-1
"30.000 Lebih Narapidana Bebas di Tengah Wabah Covid-19, Termasuk Koruptor??? | Serba-serbi MMC",-1,-2
Semoga segera diberi kesembuhan & jgn coba2 lg menulis corona tentara Allah. Virus tdk mengenal sara. Marilah berdoa spy wabah ini segera berakhir. Amiiin ,1,-1
"Kalo emang kehati hatian bisa mencegah corona..mungkin pangeran Charles tidak akan terpapar covid 19, krn hidupnya paling hati2 dan terjaga.",1,-1
gejala covid,0,1
"Kemarin yakin sekali kedepan akan seperti ini dan itu, taunya wabah covid 19 merubah semuannya. Sekarang doannya samal allah mintannya dirahmati dan dilindungi dimudahkan serta menjadi orang yang beruntung. Jangan sok kuat bro.. kita diatur jangan sok2 mengatur. ",-1,-2
covid,0,1
Covid i oleh renang ra to,-1,1
Bapak Anies dong...karena beliau dan jajarannya yang dari awal konsisten melawan covid 19.hanya saja di jegal oleh pusat..,1,2
"Disebabkan pandemik COVID-19, penjarakan sosial perlu menjadi norma baharu sekurang2nya untuk satu tempoh waktu tertentu. Untuk tahun ini, sekurang2nya perlu ada kawalan, pemantauan atau mungkin batalkan perhimpunan sama ada perhimpunan Ramadan, Aidilfitri atau Haji",1,1
San Bernardino County: COVID-19 Data:,0,1
DPR RI Bentuk Timwas Covid-19,1,1
Emang serba salah mas. Nggak konpers juga nnti dikira nggak ada transparansi dalam menanggulangi pandemi covid-19 ini.,0,-2
Begini Penjelasan Muhaimin Terkait Timwas Covid-19 DPR RI,,1
Sehat selalu ya ustadz...semoga Allah SWT selalu melindungi Anda dan keluarga.Begitulah faktanya ustadz.....dana pendidikan di pakai buat penanganan covid 19...jelas2 dana gak ada tp sok2 masih mau pindah ibu kota.....mirissss,-1,-1
BAZNAS Buka Donasi Covid-19 Lewat Smart Shadaqah BNI Syariah -,1,2
Lagi bayangin IJAZAH gw bsk ada lambang COVID-19 nya,0,2
"Mangtanku besok akad, ciyee menikah ditengah pandemi covid-19 ciyee",-1,2
"Ini adalah wujud cinta kasih dan duka kami warga Maluku atas meninggalnya salah satu putra terbaik Maluku, Kaka tercinta Kami menyadari bahwa virus covid-19 ada dimanadan mengancam kami, tp ketakutan itu terkalahkan org rasa duka kami.Mohon jgn bully kami.",1,-1
Jawaban paling Wow.. udah bikin apa anda buat penanggulangan covid? Wisma atlit masih butuh relawan ikut yuuu sayang,1,2
"Demi kesehatan mental lu, baca berita covid sekali sehari aja, Dan apapun yg terjadi setelah lu baca gak usah hiraukan, skip aja udah untk hari esok atau lusa, karna itu gak baik buat lu",1,-2
"Covid-19 memiliki arti kata Co yakni corona, Vi yakni virus dan D yakni disease atau penyakit. Kemudian ditambahkan angka 19, yakni 2019 mewakili tahun Smg puas dgn jwban ini halo Luna ",1,1
jalan - Membantu pihak berkuasa dalam menanggani penularan wabak Covid-19 Ft 12 sec 72.00 Ft 03 sec 210.00,0,1
Ini adalah contoh beberapa kondisi penerapan alat pengaman di Apotek agar meminimalisir penularan COVID-19.Bagaimana kondisi di apotek anda? Silahkan share dan tag medsos kami dengan hashtag,0,1
Am Mrs. Lestari Abyasa dari Balikpapan. terima kasih kepada RIKA ANDERSON PINJAMAN yang memberikan saya pinjaman tanpa jaminan 100 juta dalam pandemi COVID-19 ini. Anda dapat menghubungi ibu WA +1 (323) 689-3663. Email:rikaandersonloancompany saya +6282235421239,-1,1
"Menunggu sampai wabah COVID-19 mereda. Sabar ya, karena keselamatan orang banyak lebih penting dari segalanya. ",1,-1
Para koruptor & kejahatan lain dibebaskan alasan krn pandemi covid-19,-1,-2
"7. Jgn lgi ada rasa angkuh, sombong,  & rasa besar serba bisa.Bukankh Virus Corona yg kecil &amp; tk tmpak mata itu tlah mndidik kita, bahwa tdk ada yg mampu mncegahnya jka Covid-19 ingin dtang mmpir?, dan Covid-19 tdk mngenal status sosial miskin atau kaya, tua atau muda pmbesar",1,-2
Sudah 12 Dinyatakan Covid-19 dari Klaster Umrah di Sidrap,0,1
Ada beberapa Gubernur coba diframing dari pusat sbg dlm penangganan Covid 19. Framing ini dilakukan utk menenggelankan popularitas Gubernur yg dianggap lawan politik padahal sdh mati matian berjuang melawan Covid 19 di daerahnya.,-1,-1
Lagi-lagi jenazah covid ditolak. Dia perawat yang meninggal grgr terpapar covid-19 ,-1,-1
Pandemi corona mengancam nasib media lokal ,-1,-1
"COVID-19: Angka kematian hampiri 100,000 di seluruh dunia",0,-1
"Yg ada tuh, level presiden menyediakan dana spy rakyat yg terkena dampak covid tetap bisa di rmh tp bisa makan layak yg dikoordinasi dr pusat sampai ke pelosok. Bekerja melalui jalurnya. Bukan bagi2 di jalan. Ini mah kelas cere",-1,-2
Penghulu & para pengurus masjid Sang Cipta Rasa kota Cirebon menggelar ikhtiar tolak bala dengan bermunajat bersama dan adzan pitu. Semoga wabah COVID 19 segera berakhir. Aamiin...untuk para dokter & tim medis indonesia tetap semangat.,1,-1
"Min LPDP 2020 ttp ada nggk yaa min, mengingat Dana Tetap Pendidikan di ahlikan ke penanggulangan ekonomi karena Covid-19",0,1
Leader dlm penyebaran covid 19 kale.... Membuat org antri akibat efek kejutnya,-1,1
Wii... Yg berdampak Covid-19 itu tdk hanya warga miskin. Berita ini judulnya benar. Isinya yg tdk benar...,-1,-2
memanusiakan manusia adalah salah satu bentuk penghormatan kita pada sesama. sedih kalo liat jenazah yg meninggal karena covid-19 tidak diterima warga setempat untuk dimakamkan.,1,-2
Ada ancaman penyebaran COVID-19 yang lebih luas. dr. Dike Afifi menbuat petisi kepada Presiden untuk keluarkan kebijakan menghentikan semua akses transportasi dari dalam dan keluar kota - Tandatangani Petisi!,1,-1
yaudah di gpp. let covid do ur duties aja,1,2
Persib Potong 75 Persen Gaji Pemain karena Corona Covid-19,0,-1
virus Corona COVID-19 melanda saat Indonesia menghadapi musim pancaroba. Ancaman demam berdarah dengue (DBD) juga sedang menghantui.,0,1
ALLAH MAHA KUASA !!! Kisah Nyata Mengharukan... Pelajar Muslimah Indonesia Yang Terkena Covid-19 di New York Alhamdulillah.. Allahu Akbar ,-1,-1
"Ngaur kamu,mosok tenaga medis meninggal kamu sangkutkan dgn fatwa mui,emngya semua pasien covid itu dari mesjid sumbernya.hadeuh",-1,-2
"Sempat Nihil Tiga Hari, Kini Pasien Positif Covid-19 Bertambah Satu Orang",0,-1
"Lindungi Dokter dari Paparan COVID-19, BPPT RI Luncurkan Aplikasi Mobile Covid Track",1,2
Semoga insan2 bocah kontol mampus kena covid-19 ya.,-1,-2
gejala covid-20,0,1
"Jumat 10/04/2020Kesadaran masyarakat akan pentingnya berdiam diri dirumah dalam memutus penyebaran virus covid 19 sangat besar dan dari kesadaran diri sendiri, terlihat dr pantauan Kijang Patroli 11.34 Klungkung disimpang Lepang bypass IB Mantra Klungkung terpantau tipis lancar",1,2
"Selamat Pagi. Rute Tebet-Depok tersedia pkl 17:33 WIB, untuk Informasi lengkap jadwal perjalanan KRL mulai 10 April 2020, bisa di lihat pada website link berikut : Tks.",0,2
"Sangat disayangkan, Gorontalo gagal bertahan sebagai daerah bebas Covid-19 hanya karena keegoisan suatu kaum yang enggan tawakal dan memilih untuk takabur",0,-2
"Udah pasti sekrg akan berlindung di balik wabah, gak bisa naikkan gaji krn hrs re-alokasikan dana utk respon Covid-19.",0,-2
"Bayar dlm kereta, x payah ke kaunter""Musim COVID-19 ni, elakkn guna cash!Guna aplikasi SETEL dlm kereta SAHAJA! Gunakn Setel pam minyak Setel & nikmati RM5 PERCUMA slps pembelian petrol RM30 pertama anda!Kod rujukan : Download setel sekarang! ",0,2
Musim sakit macam ni kan agak2 u all hantu jin momok kena tak covid 19 ni tak,-1,-2
"3. Langkah yg dapat di ambil pemerintah dalam mengatasi dampak Covid-19 terhadap Perekonomian Indonesia Jawab :Menjaga konsumsi rumah tangga miskin melalui berbagai program yang dapat dilakukan segera coverage besar, dan berdampak langsung ke covid 19",1,1
Mendikbud Nadiem Makarim mengambil keputusan terkait pencairan dana KIP atau Kartu Indonesia Pintar di tengah pandemi virus corona COVID-19.,1,2
Kadar kematian COVID-19 di Malaysia masih rendah.,1,2
Pecah telor Sarjana Covid-19!,0,2
"Baru dapet info kalo di gang sebelah rumah di Lumajang udah ada yg positif Covid-19, semoga seluruh keluarga disana aman.",1,-1
Darurat militer saja pemerintah bias mewajibkan rakyat sebagai serdadu. Darurat wabah covid-19 dan kesehatan tentu bisa dilakukan untuk mewajibkan para konglomerat untuk keluarkan hartanya untuk kepentingan bersama.,1,-2
Tapi anis ni tak main tiktok dan alhamdulillah tak kena covid.,0,2
"Sbnarnya sudah tdk kaget klo di suruh tinggal rumah, sudah terbiasa dri dulu juga social distancing, krna Ada yg lebih mematikan dalam masyarakat lebih dri covid, yaitu kebodohan~",-1,-2
Badan POM luncurkan informatorium obat COVID-19 bersamaan dengan FGD online tentang penanggulangan COVID-19.Informatorium ini berisi informasi terkait perkembangan obat COVID-19 di dunia dan tata,1,1
"Revisi : - kalau tidak ada penambahan jumlah yang positif - maka untuk pasien Covid-19 dengan gejala penyakit yang parah atau kritis, bisa membutuhkan waktu pemulihan klinis sekitar 3 hingga 6 minggu.",1,2
Syafakallah..semoga Allah memberi kesembuhan pada Dr Tun Muzamal Widan drp wabak Covid 19 dan sihat seperti biasa ..Aamiin Ya Rabbal Alamiin,1,-1
"sambil menunggu orang2 pintar menemukan obatnya, mari waspada, tak perlu panik berlebihan. faktanya angka kematian 5 bln jauh lebih rendah dr TBC.. COVID-19 Tidak Menyeramkan",0,1
PSBB versus COVID-19,0,2
"Dirumah aja , jaga kesehatan dukung pemerintah memerangi covid 19 , dan dirumah ajapun bisa memperoleh investasi dengan untung banyakk...Dengan didukung legalitas aman dan konsep hotel dan berkelas.. perputasan",1,1
"MEDITATION TO FIGHT COVID-19 ""Meditasi tidak hanya bermanfaat bagi pikiran tetapi juga bagi tubuh. Dalam satu kesatuan yang harmonis kehidupan berlangsung dalam cinta yang mengubah segala sesuatu menjadi",1,-1
Pdhl gak mutlak begitu ya. Beliau lupa ttg adanya cytokine storm pd pasien COVID-19.,0,-2
Hrap2 cukup 2k rt. Nak warna hijau. Nak bawak g kerja. Merempit musim covid. ,0,1
Salam sapa? Mana boleh salam salam pqah musim covid ni. Adoilah,0,-1
Sebagai bentuk dukungan terhadap tim medis yang tengah berjuang menghadapi dan merawat pasien Covid-19. FPI kembali menyalurkan sejumlah bantuan berupa APD serta makanan dan minuman bernutrisi untuk para Tim Medis.,1,2
Semoga wabah covid-19 segera berlalu agar lebaran bisa mudik dan berkumpul dgn keluarga,1,-1
Buat penelitian covid 19,0,2
"Tulisan ini saya bikin sekitar 2 minggu lalu, br dipublish 4 hari lalu. Saya nulis ttg konser virtual yg banyak dilakukan saat pandemi Covid-19, tp ini jg persiapan utk era 5G nantinya. Serunya semalam liat postingan Jrx di IG menghubungkan konspirasi Covid19 ini dan 5G.",0,2
"PKP. Semua orang tak nak rugi. Semua nya nak bekerja untuk dapatkan duit. Tapi kena la ingat. Selagi tak selesai kes covid-19, belum tentu kita semua selamat walaupun kita pergi & balik kerja. Lebih baik rugi sementara daripada menyesal selamanya.",1,-1
"Allhumma inn dzu bika minal barashi, wal jun bni, wal judzmi, wa sayy Bismillahirrahmanirrahim semoga Wabah covid-19 segera berakhir, semoga selalu diberikan kesehatan, keselamatan serta kebahagiaan di dunia akhirat .. Aamiin ",1,-1
Ketua Wantim MUI Tolak Pengalihan Dana Haji untuk Penanganan Covid-19,1,-2
"Ada 15 cara menyuruh Covid-19 segera pergi:6. Jangan lagi pernah abaikan rumah, keluarga dengan terlalu sibuk di luar rumah. Bukankan Covid-19 telah mendidik kita untuk banyak tinggal di dalam rumah bersama keluarga ?",1,1
Kasihan ibu korban covid 19. Yg memohon kepada warga Video : 2,0,-1
"Bukan karena covid, dia HIV",-1,-2
Pandemi COVID-19 ketua Komisi Fatwa MUI banten himbau masyarakat tidak ke luar daerah,1,1
"Update 9 April 2020 Infografis Covid-19: 3293 Positif, 252 Sembuh, 280 Meninggal -",0,1
Pasien Pertama Covid 19 di Kabupaten Serang Terdeteksi Pulang dari Jakarta,0,1
"Time musim PKP ni pun runner boleh jual dadah ek? Yg beli dadah pun jenis otak kat mana tah. Time PKP ni kita nak doa supaya covid-19 ni pulih cepat, orang hisap dadah minta mati cepat. Eh marah plak rasa",0,-2
Cara allah membersihkan bumi ini dari polusi kendaraan ya adanya covid-19 ini,0,-1
Teknis RS Klaim Biaya Perawatan Pasien Covid-19,0,1
"Dan terjadi lagi, penolakan warga terhadap jenazah perawat yang menangani COVID-19 di RSUP Kariadi, Semarang! Lokasi: Suwakul, Ungaran.Video : 1",-1,-1
Wagub Sumbar Minta Data Penerima Bantuan Korban Covid -19 Tidak Duplikasi dan Harus Detail,1,-2
"Selamat pagi Kak Siti, Mina informasikan Plasa Telkom Depok yakni Di Jl. Arif Rahman Hakim No.100 Depok saat ini tutup sementara hingga batas waktu yang belum ditentukan mengikuti anjuran dari pemerintah terkait waspada Covid-19, dapat diinformasikan keperluannya apa Kak?-",0,1
Doa Para Kiai Bawa Spirit di Tengah Pandemi Covid-19 via,1,-1
Pandemi Covid-19: 1.599.423 Kasus dan 95.523 Kematian -,0,1
"Pusing julz, d rumah lagi rame covid, d sini rame fwb ga ngotak",-1,-2
"semoga wabah covid-19 segera berlalu dan indonesia kembali baik baik saja, amin paling serius",1,-1
Ada juga lu sbg ketua mutusin utk potong gaji seluruh anggota dpr selama beberapa bulan kedepan utk biaya penanggulangan wabah covid-19..bukannya galang satgas covid-19 utk nyari dana.!!! Mati kekayaan lo gak lo bawa ke liang lahat!!,-1,-2
Presiden RI sangat cekatan dalam menghadapi Pandemi Covid-19 A. Sangat Benar SekaliB. Benar SekaliC. BenarD. Benar Semuah,1,2
biar hukum yg brjalan. yuk fokus lawan covid 19,1,2
Pasca pandemi covid 19 ada orang gila nambah nggak ???,-1,1
Sbenarnya ada baiknya covid ni berlaku.. Banyak,-1,1
Meninggal nya relawan covid kalah tenar dengan glen,-1,-2
"Legislatif sosialisasikan bahaya corona hingga ke sawah: Wakil rakyat di DPRD Kabupaten Kotabaru, Kalimantan Selatan gencar melakukan sosialisasi kepada masyarakat dalam mengantisipasi bahaya penyebaran virus COVID-19, yang dimulai dari wilayah perkotaan",1,1
"RS darurat Wisma Atlet Kemayoran rawat 522 pasien: Rumah Sakit Darurat COVID-19 Wisma Atlet di Kemayoran, Jakarta, hingga Kamis, 9 Maret 2020 merawat 522 pasien rawat inap yang terdiri atas 334 pria dan 188 perempuan.Kasdam Jaya Brigjen TNI M Saleh",0,1
"Wabah Covid-19 Merebak, Perajin Masker di Badung Panen Order",0,2
2. Dampak Covid-19 terhadap Kerjasama Internasional Jawab:. Adanya kapasitas perawatan kesehatan yang cukup . Harus terintegrasi antara kebijakan pada bidang kesehatan dan ekonomi makro. kerja sama internasional maupun kemitraan lintas batas,1,1
"DPC Demokrat Maluku Tengah bagikan masker di Pasar Binaya Kota Masohi dan di depan Mini Market Hoky, Namaelo.""Ini lanjutan dari kegiatan sebelumnya, agar kader turun langsung ke masyarakat, ujar Ketua DPC Samuel Thiemailattu.",1,1
"KITA PUTUS DULU YA untuk memutuskan mata rantai COVID-19 tak cukup dgn jaga jarak saja, gunakan MASKER jika keluar rumah lindungi dirimu, karena mungkin saja seseorang disekitar kita terjangkit COVID-19",1,1
"Dengan diterapkannya PSBB (Pembatasan Sosial Berskala Besar) dibebarapa daerah, mari refleksikan pengorbanan-Nya dari rumah masing-masing. Dan kita semua berharap mukjizat segera turun menghalau COVID-19. Have a blessing",1,-1
gila serem bgt tante gue abis ngeoprasi org sesaran taunya doi positif covid,0,-1
BERSAMA LAWAN COVID-19 polisi_palembang anom_setyadji andes9899 irwan_to.sik05,1,1
Stay safe demi mencergah penyebaran peluasan wabah covid 19 bareng smartfren ,0,2
"Yuk, setelah covid berakhir. Tapi pengen bgt ke argopuro gas",0,2
Kenapa harus banget ngikutin berita covid ? Karna di ruang isolasi itu ga enak banget Astagfirullah cukup sekali dan semoga virus ini segera lenyap dari bumi,1,1
Punten ini rapid test covid kah mas nya?,0,1
"Bali terkini (April 2020), efek global Covid-19.Simak selengkapnya pada video saya,Link youtube:",0,-1
"Satu hari dia (Covid-19),akan pulang ke tempat asalnya... Tapi smp waktu itu kita harus terus bersabar dan berdoa moga semuanya dipermudahkan - Ustaz Fawwaz ",1,-1
Mau gimana lagi? Kalo sampe dia bilang masuk tuh covid. Minta bantuin siapa? Dia kan memusuhi seluruh dunia. Bener gak si?,-1,-2
